index,merchant_name,merchant_address,brand_name,category,store_address,lat,long,dist,city
10,4 SEASONS- CHÈ TRÀ KEM,"17B14 Phạm Ngọc Thạch, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",4 Seasons - Chè Trà Kem,coffee chains and milk tea,"17B14 Phạm Ngọc Thạch, P.Trung Liệt, Q.Đống Đa",21.01081,105.83694,Quận Đống Đa,Hà Nội
11,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ 4GS TEXAS,"47 Bis Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",4GS Texas,bakery,"215B3 Nguyễn Văn Hưởng, P.Thảo Điền, Q.2",10.81244,106.7324,Quận 2,Hồ Chí Minh
12,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ 4GS TEXAS,"47 Bis Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",4GS Texas,bakery,"16 Cao Thắng, P.5, Q.3",10.76891,106.68346,Quận 3,Hồ Chí Minh
13,AA STOP & SHOP,"53A Hồ Xuân Hương, P.6, Q.3, TP.HCM",Aa Stop & Shop,cvs,"53A Hồ Xuân Hương, P.6, Q.3",10.77681,106.68781,Quận 3,Hồ Chí Minh
14,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"10 Nguyễn Lương Bằng, P.Tân Phú, Q.7",10.73292,106.71914,Quận 7,Hồ Chí Minh
15,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"116 Hà Huy Tập, P.Tân Phong, Q.7",10.72643,106.7099801,Quận 7,Hồ Chí Minh
16,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"23 Nguyễn Hữu Thọ, P.Tân Hưng, Q.7",10.7391504,106.7007251,Quận 7,Hồ Chí Minh
17,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"50 Số 3, P.Bình An, Q.2",10.79498,106.73584,Quận 2,Hồ Chí Minh
18,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"215A Yersin, P.Phú Cường, TP.Thủ Dầu Một",10.98164,106.65604,Phường Phú Cường,Thủ Dầu Một
19,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"532A Kinh Dương Vương, P.Bình Trị Đông B, Q.Bình Tân",10.73834,106.61048,Quận Bình Tân,Hồ Chí Minh
20,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"96 Cao Thắng, P.4, Q.3",10.77132,106.68067,Quận 3,Hồ Chí Minh
21,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"364 Cộng Hòa, P.13, Tân Bình",10.80232,106.64142,Quận Tân Bình,Hồ Chí Minh
22,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"20 Tôn Dật Tiên, P.Tân Phong, Q.7",10.72306,106.71451,Quận 7,Hồ Chí Minh
23,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"491 Hậu Giang, P.11, Q.6",10.74847,106.63661,Quận 6,Hồ Chí Minh
24,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"D1, P.Tân Hưng, Q7",10.74142,106.69595,Quận 7,Hồ Chí Minh
25,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"2 Bùi Bằng Đoàn, P.Tân Phong, Q.7",10.7332152,106.708485,Quận 7,Hồ Chí Minh
26,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"Nguyễn Hữu Thọ, H.Nhà Bè",10.70213,106.71403,Huyện Nhà Bè,Hồ Chí Minh
27,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"20 Trần Phú, P.Lộc Thọ, TP.Nha Trang",12.24792,109.19644,Phường Lộc Thọ,Nha Trang
28,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"44 Trần Phú, P.Lộc Thọ, TP.Nha Trang",12.2402176,109.1965598,Phường Lộc Thọ,Nha Trang
29,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"126 Hùng Vương, P.12, Q.5",10.7642667,106.6796311,Quận 5,Hồ Chí Minh
30,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"33 Phan Huy Ích, P.15, Q.Tân Bình",10.82522,106.63059,Quận Tân Bình,Hồ Chí Minh
31,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"205 Lạc Long Quân, P.3, Q.11",10.7633,106.64221,Quận 11,Hồ Chí Minh
32,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"23 Nguyễn Thị Minh Khai, P.Bến Nghé, Q.1",10.78414,106.69925,Quận 1,Hồ Chí Minh
33,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"49 Đường 66, P.Thảo Điền, Q.2",10.81326,106.72859,Quận 2,Hồ Chí Minh
34,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"Văn Giang, Xã Xuân Quang, Huyện Văn Giang",20.96682,105.91898,Xã Xuân Quan,Huyện Văn Giang
35,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"239 Xuân Thủy, P.Dịch Vọng, Q.Cầu Giấy",21.03662,105.78314,Quận Cầu Giấy,Hà Nội
36,CÔNG TY TNHH MTV HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",Aeon Citimart,supermarket,"49 Phố Hai Bà Trưng, Trần Hưng Đạo, Q.Hoàn Kiếm",21.02619,105.8463,Quận Hoàn Kiếm,Hà Nội
37,CÔNG TY CỔ PHẦN THƯƠNG MẠI QSR VIỆT NAM,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aeon Mall,supermarket,"27 Cổ Linh, P.Long Biên, Q.Long Biên",21.026379,105.8982468,Quận Long Biên,Hà Nội
38,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"Trần Phú, P.2, TP. Bảo Lộc",11.54133,107.79992,Phường 2,Bảo Lộc
39,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"191 Quang Trung, P.Hiệp Phú, Q.9",10.839,106.77279,Quận 9,Hồ Chí Minh
40,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"124 D2, P.25, Q.Bình Thạnh",10.80479,106.71593,Quận Bình Thạnh,Hồ Chí Minh
41,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"215B Tân Sơn Nhì, P.Tân Sơn Nhì, Q.Tân Phú",10.79835,106.6316,Quận Tân Phú,Hồ Chí Minh
42,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"102 Đồng Đen, P.13, Q.Tân Bình",10.80644,106.64184,Quận Tân Bình,Hồ Chí Minh
43,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"78C Hòa Bình, P.5, Q.11",10.76852,106.63894,Quận 11,Hồ Chí Minh
44,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"1C Nguyễn Ảnh Thủ, P.Trung Mỹ Tây, Q.12",10.8568459,106.6082718,Quận 12,Hồ Chí Minh
45,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"217 Nguyễn Thị Minh Khai, P.Nguyễn Cư Trinh, Q.1",10.76759,106.68378,Quận 1,Hồ Chí Minh
46,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"384 Nguyễn Thị Thập, P.Tân Quy, Q.7",10.73882,106.71056,Quận 7,Hồ Chí Minh
47,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"242 Phạm Văn Đồng, P.Hiệp Bình Chánh, Q.Thủ Đức",10.82931,106.72312,Quận Thủ Đức,Hồ Chí Minh
48,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"11 Sư Vạn Hạnh, P.12, Q.10",10.77581,106.66836,Quận 10,Hồ Chí Minh
49,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"29 Liễu Giai, P.Ngọc Khánh, Q.Ba Đình",21.03227,105.81363,Quận Ba Đình,Hà Nội
50,CÔNG TY CỔ PHẦN AKA HOUSE,"77 Trần Nhân Tôn, Phường 9, Quận 5, TP.HCM",Aka House,restaurant,"88 Song Hành, P.An Phú, Q.2",10.80104,106.74259,Quận 2,Hồ Chí Minh
51,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"539 Phan Văn Trị, P.5, Q.Gò Vấp",10.82506,106.69063,Quận Gò Vấp,Hồ Chí Minh
52,CHI NHÁNH CÔNG TY TNHH ĐỨC NHÂN  ĐÀ NẴNG,"208 Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng, VIỆT NAM",Al Fresco's,restaurant,"210 Trần Phú, P.Hải Châu 1, Q.Hải Châu",16.0640494,108.2234686,Quận Hải Châu,Đà Nẵng
53,CHI NHÁNH CÔNG TY TNHH ĐỨC NHÂN  ĐÀ NẴNG,"208 Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng, VIỆT NAM",Al Fresco's,restaurant,"163 Nguyễn Văn Linh, P.Nam Dương, Q.Hải Châu",16.06028,108.2135701,Quận Hải Châu,Đà Nẵng
54,CHI NHÁNH CÔNG TY TNHH ĐỨC NHÂN  ĐÀ NẴNG,"208 Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng, VIỆT NAM",Al Fresco's,restaurant,"910A Ngô Quyền, P.An Hải Bắc, Q.Sơn Trà",16.06486,108.23348,Quận Sơn Trà,Đà Nẵng
55,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"150 Thành Thái, P.12, Q.10",10.77521,106.66411,Quận 10,Hồ Chí Minh
56,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"111 Cộng Hòa, P.12, Q.Tân Bình",10.80146,106.65233,Quận Tân Bình,Hồ Chí Minh
57,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"21 Mạc Đỉnh Chi, P.Đa Kao, Q.1",10.78478,106.69951,Quận 1,Hồ Chí Minh
58,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"16 Nguyễn Thị Nghĩa, P.Bến Thành, Q.1",10.77074,106.69377,Quận 1,Hồ Chí Minh
59,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"190 Phan Xích Long, P.2, Q.Phú Nhuận",10.79789,106.68916,Quận Phú Nhuận,Hồ Chí Minh
60,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"23 Mỹ Toàn, P.Tân Phong, Q.7",10.7302,106.70033,Quận 7,Hồ Chí Minh
61,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"30 Trường Sơn, P.2, Q.Tân Bình",10.80895,106.6648,Quận Tân Bình,Hồ Chí Minh
62,CHI NHÁNH ĐỨC NHÂN - NHÀ HÀNG HOA QUỲNH,"27 Đông  du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"89 Xuân Thủy, P.Thảo Điền, Q.2",10.80392,106.73558,Quận 2,Hồ Chí Minh
63,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"106 Trần Thái Tông, P.Dịch Vọng Hậu, Q.Cầu Giấy",21.02935,105.78774,Quận Cầu Giấy,Hà Nội
64,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"29 Liễu Giai, P.Ngọc Khánh, Q.Ba Đình",21.03227,105.81363,Quận Ba Đình,Hà Nội
65,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"108K1 Láng Hạ, P.Thành Công, Q.Ba Đình",21.02054,105.81767,Quận Ba Đình,Hà Nội
66,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"72 Nguyễn Trãi, P.Thượng Đình, Q.Thanh Xuân",21.00072,105.81646,Quận Thanh Xuân,Hà Nội
67,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"458 Minh Khai, P.Vĩnh Tuy, Q.Hai Bà Trưng",21.00235,105.87015,Quận Hai Bà Trưng,Hà Nội
68,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"402 Vincom Long Biên, P.Phúc Lợi, Q.Long Biên",21.05882,105.914,Quận Long Biên,Hà Nội
69,CÔNG TY TNHH ĐỨC NHÂN,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"62 Xuân Diệu, P.Yên Phụ, Q.Tây Hồ",21.06238,105.83005,Quận Tây Hồ,Hà Nội
70,CHI NHÁNH CÔNG TY CP ALFRESCO'S Á CHÂU,"8/54 -56-58 Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Al Fresco's,restaurant,"11 Sư Vạn Hạnh, P.12, Q.10",10.77581,106.66836,Quận 10,Hồ Chí Minh
71,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"1 Mễ Trì, P.Mỹ Đình 2, Q.Nam Từ Liêm",21.03133,105.77417,Quận Nam Từ Liêm,Hà Nội
72,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"23L Hai Bà Trưng, P.Cửa Nam, Q.Hoàn Kiếm",21.02659,105.84499,Quận Hoàn Kiếm,Hà Nội
73,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"1 Bạch Đằng, P.Thượng Lý, Q.Hồng Bàng",20.86185,106.66764,Quận Hồng Bàng,Hải Phòng
74,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"240 Hoàng Ngân, P.Trung Hòa, Q.Cầu Giấy",21.01,105.80335,Quận Cầu Giấy,Hà Nội
75,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"19 Nhà Thờ, P.Đồng Xuân, Q.Hoàn Kiếm",21.02894,105.84969,Quận Hoàn Kiếm,Hà Nội
76,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"119 Trần Duy Hưng, P.Trung Hoà, Q.Đống Đa",21.0087834,105.7974134,Quận Cầu Giấy,Hà Nội
77,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"54 Nguyễn Chí Thanh, P.Láng Hạ, Q.Đống Đa",21.02374,105.81031,Quận Đống Đa,Hà Nội
78,CÔNG TY CỔ PHẦN ALFRESCO'S Á CHÂU,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's,restaurant,"37 Trần Đăng Ninh, P.Dịch Vọng, Q.Cầu Giấy",21.03215,105.79153,Quận Cầu Giấy,Hà Nội
79,ALIFOODCORNER,"008-009 Lô T chưng cư  Ngô Gia Tự, Phường 2, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Alifoodcorner,food store,"Chưng Cư Ngô Gia Tự, P.2, Q.10",10.76607,106.67329,Quận 10,Hồ Chí Minh
80,ALTO COFFEE,"408 điện biên phủ, Phường 11, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Alto Coffee,coffee chains and milk tea,"408 Điện Biên Phủ, P.11, Q.10",10.77334,106.67973,Quận 10,Hồ Chí Minh
81,ẨM THỰC CHAY RAU CỦ QUẢ VEGETA,"684 ĐIỆN BIÊN PHỦ, Phường 10, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Ẩm Thực Chay Rau Củ Quả Vegeta,food store,"684 Điện Biên Phủ, P.10, Q.10",10.76954,106.67574,Quận 10,Hồ Chí Minh
82,HỘ KINH DOANH CÀ PHÊ TRẠM THÀNH THỊ,"72C Trần Quốc Toản, Phường 8, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",Ama Kafé,coffee chains and milk tea,"14B5 Ngô Tất Tố, P.19, Q.Bình Thạnh",10.7932,106.70993,Quận Bình Thạnh,Hồ Chí Minh
83,AN XANH VEGGIE CAFE AND BREAD,"58/9 Trương Định, P.Bến Thành, Q.1, TP.HCM",An Xanh Veggie Cafe And Bread,coffee chains and milk tea,"58/9 Trương Định, P.Bến Thành, Q.1",10.77247,106.69568,Quận 1,Hồ Chí Minh
84,APSARA CAFE,"Số 1 Phạm Ngũ Lão, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Apsara Cafe,coffee chains and milk tea,"1 Phạm Ngũ Lão, P.Phan Chu Trinh, Q. Hoàn Kiếm",21.02477,105.85903,Quận Hoàn Kiếm,Hà Nội
85,ASINT COFFEE,"48 Nguyễn Đình Chiểu, P.Đa Kao, Q.1, TP.HCM",Asint Coffee,coffee chains and milk tea,"48 Nguyễn Đình Chiểu, P.Đa Kao, Q.1",10.78983,106.70085,Quận 1,Hồ Chí Minh
86,ATELIER COFFEE ROASTER,"65A Tôn Thất Thiệp , Phường Điện Biên, Quận Ba Đình, Hà Nội, VIỆT NAM",Atelier Coffee Roaster,coffee chains and milk tea,"65A Tôn Thất Thiệp, P.Điện Biên, Q.Ba Đình",21.02962,105.84266,Quận Ba Đình,Hà Nội
87,ATM STREET COFFEE,"167/2 Sư Phạm Hạnh, P.3, Q.10, TP.HCM",Atm Street Coffee,coffee chains and milk tea,"167/2 Sư Phạm Hạnh, P.3, Q.10",10.7638,106.67248,Quận 10,Hồ Chí Minh
88,B-DUBS,"159 Võ Văn Tần, P.6, Q.3, TP.HCM",B-Dubs,fast food,"159 Võ Văn Tần, P.6, Q.3",10.77454,106.68847,Quận 3,Hồ Chí Minh
89,B59 COFFEE,"370  Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",B59 Coffee,coffee chains and milk tea,"11 Thanh Niên, P.Quán Thánh, Q.Ba Đình",21.04082,105.84503,Quận Ba Đình,Hà Nội
